name,watershed,lake sq km,bloom freq,max CI,mean monthly CI
03080103003598,HUC8: 03080103,3,25%,180,14
03080102005747,HUC8: 03080102,4,50%,193,20
03080102004935,HUC8: 03080102,63,100%,250,148
03080102005488,HUC8: 03080102,7,50%,189,14
03080101011584,HUC8: 03080101,4,50%,211,19
03080102005066,HUC8: 03080102,9,100%,250,181
03080102005050,HUC8: 03080102,77,100%,239,140
03080101009624,HUC8: 03080101,33,100%,238,150
03080103033855,HUC8: 03080103,70,75%,245,40
03080102019950,HUC8: 03080102,36,100%,247,149
03080102019954,HUC8: 03080102,25,67%,215,39
03080102019952,HUC8: 03080102,34,50%,250,9
03080103033853,HUC8: 03080103,5,100%,207,12
03080102019949,HUC8: 03080102,56,100%,250,84
03080103033849,HUC8: 03080103,2,33%,194,12
03080101011019,HUC8: 03080101,11,100%,219,14
03080101009559,HUC8: 03080101,36,75%,223,56
03080101008859,HUC8: 03080101,3,33%,180,4
03080101008947,HUC8: 03080101,18,50%,227,11
03080101008912,HUC8: 03080101,179,75%,249,72
03080101009101,HUC8: 03080101,67,100%,249,22
03080101009330,HUC8: 03080101,5,50%,189,16
03080102004874,HUC8: 03080102,16,100%,238,143
03080101009473,HUC8: 03080101,5,75%,182,12
03080102005011,HUC8: 03080102,31,100%,250,134
03080102005564,HUC8: 03080102,10,50%,199,18
03080101010558,HUC8: 03080101,20,100%,249,18
03080101010615,HUC8: 03080101,7,100%,188,17
03080101010831,HUC8: 03080101,7,50%,218,16
03080102005647,HUC8: 03080102,3,33%,169,11
03080101011546,HUC8: 03080101,26,100%,194,14
03080102003945,HUC8: 03080102,4,33%,189,11
03080101011587,HUC8: 03080101,7,50%,190,16
03080102005532,HUC8: 03080102,2,67%,198,16
03080102005491,HUC8: 03080102,9,67%,224,19
03080102004367,HUC8: 03080102,2,75%,227,111
03080102004506,HUC8: 03080102,8,67%,211,54
03080103003195,HUC8: 03080103,4,50%,200,17
03080103003173,HUC8: 03080103,7,75%,212,12
03080103003498,HUC8: 03080103,8,100%,189,18
03080102005051,HUC8: 03080102,24,100%,250,187
03080102005464,HUC8: 03080102,124,100%,250,197
03080101009634,HUC8: 03080101,29,50%,231,28
03080102005606,HUC8: 03080102,15,100%,199,22
03090101008239,HUC8: 03090101,3,67%,192,11
03090101006823,HUC8: 03090101,2,50%,177,14
03090101007396,HUC8: 03090101,76,100%,227,50
03090101007133,HUC8: 03090101,21,100%,196,16
03090101008393,HUC8: 03090101,15,67%,199,21
03090101008419,HUC8: 03090101,14,100%,227,26
03090101007931,HUC8: 03090101,22,100%,206,15
03090101008099,HUC8: 03090101,5,50%,191,10
03090101008430,HUC8: 03090101,16,100%,217,60
03090101041057,HUC8: 03090101,4,67%,201,9
03090101041049,HUC8: 03090101,7,67%,201,9
03090201000514,HUC8: 03090201,1675,100%,250,24
03090101041058,HUC8: 03090101,27,100%,213,34
03090101041060,HUC8: 03090101,13,100%,225,26
03090101041050,HUC8: 03090101,3,50%,173,11
03090101007140,HUC8: 03090101,3,67%,179,14
03090101008429,HUC8: 03090101,14,100%,194,15
03090101007411,HUC8: 03090101,7,100%,192,16
03090101007486,HUC8: 03090101,3,100%,211,15
03090101008297,HUC8: 03090101,2,33%,201,15
03090101006713,HUC8: 03090101,3,100%,195,11
03090101006844,HUC8: 03090101,7,100%,179,16
03090101007740,HUC8: 03090101,4,50%,220,6
03090101008462,HUC8: 03090101,15,100%,231,167
03090101007771,HUC8: 03090101,18,100%,208,16
03090101007786,HUC8: 03090101,23,100%,233,111
03090101007878,HUC8: 03090101,31,100%,214,58
03090101008322,HUC8: 03090101,110,100%,217,83
03090101007547,HUC8: 03090101,12,100%,227,161
03090101007887,HUC8: 03090101,140,100%,221,52
03090101008096,HUC8: 03090101,15,100%,211,26
03090204006541,HUC8: 03090204,6,100%,250,106
03090101006821,HUC8: 03090101,5,100%,198,12
03090101008012,HUC8: 03090101,5,100%,215,41
03090101008379,HUC8: 03090101,2,33%,194,17
03090101007179,HUC8: 03090101,11,100%,198,13
03090101007994,HUC8: 03090101,14,100%,241,106
03090101006962,HUC8: 03090101,48,100%,207,13
03090101006753,HUC8: 03090101,5,60%,215,12
03090101007064,HUC8: 03090101,2,100%,183,14
03090101007339,HUC8: 03090101,2,33%,186,12
03090101008276,HUC8: 03090101,2,50%,197,9
03090101007785,HUC8: 03090101,9,100%,224,15
03090101006817,HUC8: 03090101,3,67%,187,14
03090101008346,HUC8: 03090101,5,33%,198,15
03100102001415,HUC8: 03100102,4,50%,244,13
03100101004304,HUC8: 03100101,9,100%,240,173
03100101004302,HUC8: 03100101,4,100%,212,117
03100205001393,HUC8: 03100205,3,100%,250,143
03100208003616,HUC8: 03100208,4,100%,218,132
03100101004272,HUC8: 03100101,3,33%,190,8
03100101004267,HUC8: 03100101,3,100%,220,105
03100101004261,HUC8: 03100101,3,100%,213,64
03100101004256,HUC8: 03100101,3,67%,230,20
03100203000324,HUC8: 03100203,15,67%,227,23
03100101004315,HUC8: 03100101,9,100%,213,62
03100208002509,HUC8: 03100208,3,100%,238,68
03100208003634,HUC8: 03100208,4,50%,207,17
03100101004338,HUC8: 03100101,2,100%,219,145
03100208002539,HUC8: 03100208,2,100%,220,13
03100101004282,HUC8: 03100101,2,100%,202,94
03100101004309,HUC8: 03100101,3,100%,173,15
03100208002330,HUC8: 03100208,29,50%,204,7
03100208002551,HUC8: 03100208,13,33%,250,50
03100101004378,HUC8: 03100101,18,100%,250,201
03100101004344,HUC8: 03100101,2,100%,192,8
03100101004357,HUC8: 03100101,5,100%,212,108
03100101004383,HUC8: 03100101,2,100%,191,18
03100101004627,HUC8: 03100101,6,67%,215,43
03110206000877,HUC8: 03110206,24,33%,207,13
