pccode,casnum,pcname
8,50704,D-Glucitol                                                                                                                                                                                                                                                   
8,50704,Sorbitol                                                                                                                                                                                                                                                     
11,74884,Methyl iodide                                                                                                                                                                                                                                                
11,74884,"Methane, iodo-                                                                                                                                                                                                                                               "
11,74884,Iodomethane                                                                                                                                                                                                                                                  
12,75274,"Methane, bromodichloro-                                                                                                                                                                                                                                      "
12,75274,Monobromodichloromethane                                                                                                                                                                                                                                     
13,75694,Khaladon 11                                                                                                                                                                                                                                                  
13,75694,Halon 11                                                                                                                                                                                                                                                     
13,75694,"Methane, trichlorofluoro-                                                                                                                                                                                                                                    "
13,75694,"Methane, trichlorofluoro-                                                                                                                                                                                                                                    "
13,75694,Isotron 11                                                                                                                                                                                                                                                   
13,75694,Propellent 11                                                                                                                                                                                                                                                
13,75694,Eskimon 11                                                                                                                                                                                                                                                   
13,75694,FC 11                                                                                                                                                                                                                                                        
13,75694,Kaltron 11                                                                                                                                                                                                                                                   
13,75694,CFC 11                                                                                                                                                                                                                                                       
13,75694,Genetron 11                                                                                                                                                                                                                                                  
13,75694,Frigen 11                                                                                                                                                                                                                                                    
13,75694,Freon 11                                                                                                                                                                                                                                                     
13,75694,Trichlorofluoromethane                                                                                                                                                                                                                                       
14,75718,Dichlorodifluoromethane                                                                                                                                                                                                                                      
14,75718,Frigen 12                                                                                                                                                                                                                                                    
14,75718,Genetron 12                                                                                                                                                                                                                                                  
14,75718,CFC 12                                                                                                                                                                                                                                                       
14,75718,Ledon 12                                                                                                                                                                                                                                                     
14,75718,Freon 12                                                                                                                                                                                                                                                     
14,75718,FC 12                                                                                                                                                                                                                                                        
14,75718,Arcton 12                                                                                                                                                                                                                                                    
14,75718,Eskimon 12                                                                                                                                                                                                                                                   
14,75718,Propellent 12                                                                                                                                                                                                                                                
15,75456,Freon 22                                                                                                                                                                                                                                                     
15,75456,Chlorodifluoromethane (HCFC-22)                                                                                                                                                                                                                              
18,8049998,Activated sewer sludge  (cas 
18,8049998,Milorganit 6-20 Deer Repellant (CAS 
18,8049998,Milorganite                                                                                                                                                                                                                                                  
18,68512890,Activated sewer sludge  (cas 
18,68512890,Milorganit 6-20 Deer Repellant (CAS 
18,68512890,Milorganite                                                                                                                                                                                                                                                  
23,57501,D(+)-Sucrose                                                                                                                                                                                                                                                 
23,57501,Sugar (D(+)-Sucrose)                                                                                                                                                                                                                                         
23,57501,Sucrose                                                                                                                                                                                                                                                      
101,79141,Hydroxyacetic acid                                                                                                                                                                                                                                           
101,79141,Hydroxyethanoic acid                                                                                                                                                                                                                                         
101,79141,Glycolic acid                                                                                                                                                                                                                                                
102,1932509,Potassium hydroxyacetate                                                                                                                                                                                                                                     
102,1932509,"Glycolic acid, potassium salt                                                                                                                                                                                                                                "
102,1932509,"Acetic acid, hydroxy-, monopotassium salt                                                                                                                                                                                                                    "
102,1932509,"Hydroxyacetic acid, monopotassium salt                                                                                                                                                                                                                       "
102,1932509,Potassium glycolate                                                                                                                                                                                                                                          
102,1932509,"Acetic acid, hydroxy-, monopotassium salt                                                                                                                                                                                                                    "
103,2836320,"Glycolic acid, sodium salt                                                                                                                                                                                                                                   "
103,2836320,"Hydroxyacetic acid, monosodium salt                                                                                                                                                                                                                          "
103,2836320,Sodium hydroxyacetate                                                                                                                                                                                                                                        
103,2836320,Sodium glycolate                                                                                                                                                                                                                                             
103,2836320,Sodium alpha-hydroxyacetate                                                                                                                                                                                                                                  
104,526954,D-Gluconic acid                                                                                                                                                                                                                                              
104,133426,D-Gluconic acid                                                                                                                                                                                                                                              
105,14906979,"D-Gluconic acid, sodium salt                                                                                                                                                                                                                                 "
111,7429905,Aluminum                                                                                                                                                                                                                                                     
111,7429905,Aluminum powder                                                                                                                                                                                                                                              
152,9002884,Polyethylene                                                                                                                                                                                                                                                 
152,9002884,"Ethene, homopolymer                                                                                                                                                                                                                                          "
153,8050337,Polyethylene glycol monoesters of mixed fatty and rosin acids                                                                                                                                                                                                
153,8050337,Polyoxyethylene esters of mixed fatty and resin acids                                                                                                                                                                                                        
153,8050337,"Resin acids and Rosin acids, ethoxylated                                                                                                                                                                                                                     "
153,8050337,Polyethylene glycol resinate                                                                                                                                                                                                                                 
169,628637,n-Pentyl acetate                                                                                                                                                                                                                                             
169,628637,"Acetic acid, pentyl ester                                                                                                                                                                                                                                    "
169,628637,"Acetic acid, pentyl ester                                                                                                                                                                                                                                    "
169,628637,Amyl acetate                                                                                                                                                                                                                                                 
169,628637,"Acetic acid, pentyl ester                                                                                                                                                                                                                                    "
174,137166,Secosyl                                                                                                                                                                                                                                                      
174,137166,"N-Methyl-N-(1-oxododecyl)glycine, sodium salt                                                                                                                                                                                                                "
174,137166,Gardol                                                                                                                                                                                                                                                       
174,137166,"N-Lauroylsarcosine, sodium salt                                                                                                                                                                                                                              "
174,137166,Hamposyl L 30                                                                                                                                                                                                                                                
174,137166,"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt                                                                                                                                                                                                             "
174,137166,Medialan LL-99                                                                                                                                                                                                                                               
174,137166,Sarkosyl NL                                                                                                                                                                                                                                                  
174,137166,Sodium N-lauroylsarcosinate                                                                                                                                                                                                                                  
174,137166,Maprosyl 30                                                                                                                                                                                                                                                  
177,67685,Dimethyl sulfoxide                                                                                                                                                                                                                                           
177,67685,DMSO                                                                                                                                                                                                                                                         
177,67685,"Methane, sulfinylbis-                                                                                                                                                                                                                                        "
203,10101414,Calcium sulfate dihydrate                                                                                                                                                                                                                                    
203,10101414,Gypsum (Ca(SO4).2H2O)                                                                                                                                                                                                                                        
207,110270,"Revenge, component of    (with 000208 and 000209)                                                                                                                                                                                                            "
207,110270,"Tetradecanoic acid, 1-methylethyl ester                                                                                                                                                                                                                      "
207,110270,Isopropyl myristate                                                                                                                                                                                                                                          
208,142916,Isopropyl palmitate                                                                                                                                                                                                                                          
208,142916,"Hexadecanoic acid, 1-methylethyl ester                                                                                                                                                                                                                       "
208,142916,"Revenge, component of    (with 000207 and 000209)                                                                                                                                                                                                            "
209,112107,"Revenge, component of    (with 000207 and 000208)                                                                                                                                                                                                            "
209,112107,Isopropyl stearate                                                                                                                                                                                                                                           
298,814802,Calcium lactate                                                                                                                                                                                                                                              
298,814802,Calcium lactate pentahydrate                                                                                                                                                                                                                                 
315,119619,Benzophenone                                                                                                                                                                                                                                                 
315,119619,"Methanone, diphenyl-                                                                                                                                                                                                                                         "
325,220899036,METRAFENONE                                                                                                                                                                                                                                                  
325,220899036,BAS  560 F (BASF  designations a.i. name)                                                                                                                                                                                                                    
325,220899036,"(3-bromo-6-methoxy-2-methylphenyl)(2,3,4-trimethoxy-6-methylphenyl)methanone                                                                                                                                                                                 "
352,12124979,Ammonium bromide                                                                                                                                                                                                                                             
401,91496,N-Butylacetanilide                                                                                                                                                                                                                                           
401,91496,"Acetamide, N-butyl-N-phenyl-                                                                                                                                                                                                                                 "
439,70592802,"Amine oxides, C10-16-alkyldimethyl                                                                                                                                                                                                                           "
439,70592802,"Amines, C10-16-alkyldimethyl, N-oxides                                                                                                                                                                                                                       "
501,8048520,"Acridinium, 3,6-diamino-10-methyl-, chloride, mixt. with 3,6-acridinediamine                                                                                                                                                                                 "
501,8048520,Acriflavine (neutral base)                                                                                                                                                                                                                                   
501,8048520,"3,6-Acridinediamine, mixt. with 3,6-diamino-10-methylacridinium chloride                                                                                                                                                                                     "
501,8048520,Neutral acriflavine                                                                                                                                                                                                                                          
501,8048520,Gonacrine                                                                                                                                                                                                                                                    
501,8048520,Trypaflavin                                                                                                                                                                                                                                                  
501,8048520,Euflavine                                                                                                                                                                                                                                                    
501,8048520,"3,6-Diamino-10-methylacridinium chloride & 3,6-diaminoacridine, mixt.                                                                                                                                                                                        "
501,8048520,Neutroflavine                                                                                                                                                                                                                                                
501,8048520,Trypaflavine neutral                                                                                                                                                                                                                                         
586,149877418,Bifenazate                                                                                                                                                                                                                                                   
586,149877418,D 2341                                                                                                                                                                                                                                                       
586,149877418,"Hydrazinecarboxylic acid, 2-(4-methoxy{1,1'-biphenyl}-3-yl)-, 1-methylethyl ester                                                                                                                                                                            "
595,79210,Hydrogen peroxide                                                                                                                                                                                                                                            
595,79210,"Actril II, component of   (with 063201)    (Cold Sterilant)                                                                                                                                                                                                  "
595,79210,Superoxol                                                                                                                                                                                                                                                    
595,79210,"Actril, component of  (with 063201)   (Cold Sterilant)                                                                                                                                                                                                       "
595,79210,Albone                                                                                                                                                                                                                                                       
595,79210,Hydrogen dioxide                                                                                                                                                                                                                                             
595,7722841,Hydrogen peroxide                                                                                                                                                                                                                                            
595,7722841,"Actril II, component of   (with 063201)    (Cold Sterilant)                                                                                                                                                                                                  "
595,7722841,Superoxol                                                                                                                                                                                                                                                    
595,7722841,"Actril, component of  (with 063201)   (Cold Sterilant)                                                                                                                                                                                                       "
595,7722841,Albone                                                                                                                                                                                                                                                       
595,7722841,Hydrogen dioxide                                                                                                                                                                                                                                             
596,10102440,Nitrogen dioxide                                                                                                                                                                                                                                             
601,107131,"Carbacryl, component of    (with 016501)                                                                                                                                                                                                                     "
601,107131,2-Propenenitrile                                                                                                                                                                                                                                             
601,107131,"Acrylofume, component of    (with 016501, 020701 and 081501)                                                                                                                                                                                                 "
601,107131,Vinyl cyanide                                                                                                                                                                                                                                                
601,107131,"Acrylon, component of     (with 016501)                                                                                                                                                                                                                      "
601,107131,"Acritet, component of    (with 016501)                                                                                                                                                                                                                       "
601,107131,"Ventox, component of    (with 016501)                                                                                                                                                                                                                        "
601,107131,Acrylonitrile                                                                                                                                                                                                                                                
601,107131,Cyanoethylene                                                                                                                                                                                                                                                
611,68911499,Dried blood                                                                                                                                                                                                                                                  
611,68911499,"Blood, glyoxal-denatured, dried                                                                                                                                                                                                                              "
611,68911499,Bloodmeal Deer Repellant                                                                                                                                                                                                                                     
660,58082,"1H-Purine-2,6-dione, 3,7-dihydro-1,3,7-trimethyl-                                                                                                                                                                                                            "
660,58082,"1,3,7-Trimethylxanthine                                                                                                                                                                                                                                      "
660,58082,Caffein                                                                                                                                                                                                                                                      
660,58082,7-Methyltheophylline                                                                                                                                                                                                                                         
660,58082,"1,3,7-Trimethyl-2,6-dioxopurine                                                                                                                                                                                                                              "
660,58082,Caffeine                                                                                                                                                                                                                                                     
669,8006824,"Oils, black pepper                                                                                                                                                                                                                                           "
669,8006824,Oil of black pepper                                                                                                                                                                                                                                          
669,8002560,"Oils, black pepper                                                                                                                                                                                                                                           "
669,8002560,Oil of black pepper                                                                                                                                                                                                                                          
691,131577,Oxybenzone                                                                                                                                                                                                                                                   
691,131577,"Methanone, (2-hydroxy-4-methoxyphenyl)phenyl-                                                                                                                                                                                                                "
691,131577,2-Hydroxy-4-methoxybenzophenone                                                                                                                                                                                                                              
692,365400119,"Methanone, (5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl) [2-(methylsulfonyl)-4-(trifluoromethyl) phenyl]-                                                                                                                                                         "
692,365400119,Pyrasulfotole Technical                                                                                                                                                                                                                                      
701,107028,Crolean                                                                                                                                                                                                                                                      
701,107028,Acrylaldehyde                                                                                                                                                                                                                                                
701,107028,NSC 8819                                                                                                                                                                                                                                                     
701,107028,2-Propen-1-one                                                                                                                                                                                                                                               
701,107028,Acrylic aldehyde                                                                                                                                                                                                                                             
701,107028,Magnacide H                                                                                                                                                                                                                                                  
701,107028,Prop-2-en-1-al                                                                                                                                                                                                                                               
701,107028,Acquinite                                                                                                                                                                                                                                                    
701,107028,Acrolein                                                                                                                                                                                                                                                     
701,107028,Allyl aldehyde                                                                                                                                                                                                                                               
701,107028,2-Propenal                                                                                                                                                                                                                                                   
701,107028,Aqualin                                                                                                                                                                                                                                                      
711,71317732,Navel orangeworm pheromone                                                                                                                                                                                                                                   
711,71317732,"(Z,Z)-11,13-Hexadecadienal                                                                                                                                                                                                                                   "
711,71317732,Paramount puffer now                                                                                                                                                                                                                                         
711,71317732,"11,13-Hexadecadienal, (Z,Z)-                                                                                                                                                                                                                                 "
803,435327063,"3-Ketopetromyzonol-24-sulfate, ammonium salt                                                                                                                                                                                                                 "
905,68439576,Sodium C14-16 alpha-olefin sulfonate                                                                                                                                                                                                                         
905,68439576,"Alkenes, C14-16 alpha-, sulfonated, sodium salts                                                                                                                                                                                                             "
905,68439576,Sodium (C14-16) olefin sulfonate                                                                                                                                                                                                                             
905,68439576,"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts                                                                                                                                                                                        "
1001,828002,"2,6-Dimethyl-m-dioxan-4-ol acetate                                                                                                                                                                                                                           "
1001,828002,"2,6-Dimethyl-m-dioxan-4-yl acetate                                                                                                                                                                                                                           "
1001,828002,"1,3-Dioxan-4-ol, 2,6-dimethyl-, acetate                                                                                                                                                                                                                      "
1001,828002,Dimethoxane                                                                                                                                                                                                                                                  
1001,828002,"6-Acetoxy-2,4-dimethyl-m-dioxane                                                                                                                                                                                                                             "
